config,gates_before_optimization,depth_before_optimization,gates_after_optimization,depth_after_optimization,time
"circuit_path: ""${BENCHMARK_DIR}/hhl_n11_from_python/hhl_n11_from_python.qasm.preprocessed.new"", omega: 100, layout: Dense, ",629247,629247,292742,629247,11.901318
"circuit_path: ""${BENCHMARK_DIR}/hhl_n11_from_python/hhl_n11_from_python.qasm.preprocessed.new"", omega: 100, layout: One, ",629247,629247,292742,629247,11.691421
"circuit_path: ""${BENCHMARK_DIR}/hhl_n11_from_python/hhl_n11_from_python.qasm.preprocessed.new"", omega: 200, layout: Dense, ",629247,629247,291957,629247,11.618511
"circuit_path: ""${BENCHMARK_DIR}/hhl_n11_from_python/hhl_n11_from_python.qasm.preprocessed.new"", omega: 200, layout: One, ",629247,629247,291957,629247,12.848391
"circuit_path: ""${BENCHMARK_DIR}/hhl_n13_from_python/hhl_n13_from_python.qasm.preprocessed"", omega: 50, layout: Dense, ",5522186,5522186,2673331,5522186,116.268524
"circuit_path: ""${BENCHMARK_DIR}/hhl_n13_from_python/hhl_n13_from_python.qasm.preprocessed"", omega: 50, layout: One, ",5522186,5522186,2673331,5522186,116.657135
"circuit_path: ""${BENCHMARK_DIR}/hhl_n13_from_python/hhl_n13_from_python.qasm.preprocessed"", omega: 100, layout: Dense, ",5522186,5522186,2635872,5522186,91.15596
"circuit_path: ""${BENCHMARK_DIR}/hhl_n13_from_python/hhl_n13_from_python.qasm.preprocessed"", omega: 100, layout: One, ",5522186,5522186,2635872,5522186,88.562996
"circuit_path: ""${BENCHMARK_DIR}/hhl_n13_from_python/hhl_n13_from_python.qasm.preprocessed"", omega: 200, layout: Dense, ",5522186,5522186,2625752,5522186,97.335205
"circuit_path: ""${BENCHMARK_DIR}/hhl_n13_from_python/hhl_n13_from_python.qasm.preprocessed"", omega: 200, layout: One, ",5522186,5522186,2625752,5522186,97.07225
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n10_from_python/shor_7_mod_15_n10_from_python.qasm.preprocessed.new"", omega: 50, layout: Dense, ",8476,8476,7861,8476,0.5007775
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n10_from_python/shor_7_mod_15_n10_from_python.qasm.preprocessed.new"", omega: 50, layout: One, ",8476,8476,7861,8476,0.5024487
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n10_from_python/shor_7_mod_15_n10_from_python.qasm.preprocessed.new"", omega: 100, layout: Dense, ",8476,8476,7564,8476,0.50006753
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n10_from_python/shor_7_mod_15_n10_from_python.qasm.preprocessed.new"", omega: 100, layout: One, ",8476,8476,7564,8476,0.51383704
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n10_from_python/shor_7_mod_15_n10_from_python.qasm.preprocessed.new"", omega: 200, layout: Dense, ",8476,8476,7552,8476,0.6241653
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n10_from_python/shor_7_mod_15_n10_from_python.qasm.preprocessed.new"", omega: 200, layout: One, ",8476,8476,7552,8476,0.60268474
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n12_from_python/shor_7_mod_15_n12_from_python.qasm.preprocessed.new"", omega: 50, layout: Dense, ",34084,34084,31719,34084,1.1121718
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n12_from_python/shor_7_mod_15_n12_from_python.qasm.preprocessed.new"", omega: 50, layout: One, ",34084,34084,31719,34084,1.0451663
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n12_from_python/shor_7_mod_15_n12_from_python.qasm.preprocessed.new"", omega: 100, layout: Dense, ",34084,34084,30357,34084,1.0446593
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n12_from_python/shor_7_mod_15_n12_from_python.qasm.preprocessed.new"", omega: 100, layout: One, ",34084,34084,30357,34084,1.0539465
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n12_from_python/shor_7_mod_15_n12_from_python.qasm.preprocessed.new"", omega: 200, layout: Dense, ",34084,34084,30297,34084,1.3670424
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n12_from_python/shor_7_mod_15_n12_from_python.qasm.preprocessed.new"", omega: 200, layout: One, ",34084,34084,30297,34084,1.3700258
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n14_from_python/shor_7_mod_15_n14_from_python.qasm.preprocessed.new"", omega: 50, layout: Dense, ",136320,136320,127012,136320,3.7907243
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n14_from_python/shor_7_mod_15_n14_from_python.qasm.preprocessed.new"", omega: 50, layout: One, ",136320,136320,127012,136320,4.0118394
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n14_from_python/shor_7_mod_15_n14_from_python.qasm.preprocessed.new"", omega: 100, layout: Dense, ",136320,136320,121415,136320,3.9596844
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n14_from_python/shor_7_mod_15_n14_from_python.qasm.preprocessed.new"", omega: 100, layout: One, ",136320,136320,121415,136320,3.996944
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n14_from_python/shor_7_mod_15_n14_from_python.qasm.preprocessed.new"", omega: 200, layout: Dense, ",136320,136320,121144,136320,4.5950427
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n14_from_python/shor_7_mod_15_n14_from_python.qasm.preprocessed.new"", omega: 200, layout: One, ",136320,136320,121144,136320,4.5663714
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n16_from_python/shor_7_mod_15_n16_from_python.qasm.preprocessed.new"", omega: 50, layout: Dense, ",545008,545008,508217,545008,14.347405
