config,gates_before_optimization,depth_before_optimization,gates_after_optimization,depth_after_optimization,n_rounds,time,oracle_time,n_seams_total
"circuit_path: ""${BENCHMARK_DIR}/nwq_statevector_n8.qasm"", omega: 50, ",2175747,0,462700,0,96,16.626276,10.172137,106915
"circuit_path: ""${BENCHMARK_DIR}/nwq_statevector_n8.qasm"", omega: 100, ",2175747,0,462700,0,96,11.486688,6.6632056,53384
"circuit_path: ""${BENCHMARK_DIR}/nwq_statevector_n8.qasm"", omega: 200, ",2175747,0,462699,0,96,9.540566,5.845084,26719
"circuit_path: ""${BENCHMARK_DIR}/nwq_statevector_n8.qasm"", omega: 400, ",2175747,0,462661,0,90,11.354418,8.099914,13392
"circuit_path: ""${BENCHMARK_DIR}/nwq_statevector_n8.qasm"", omega: 800, ",2175747,0,462187,0,103,21.553137,17.356316,7196
"circuit_path: ""${BENCHMARK_DIR}/vqe_n18_from_python.qasm"", omega: 50, ",29800,0,10522,0,67,1.0109197,0.48654392,1823
"circuit_path: ""${BENCHMARK_DIR}/vqe_n18_from_python.qasm"", omega: 100, ",29800,0,10484,0,57,0.8377324,0.40792757,909
"circuit_path: ""${BENCHMARK_DIR}/vqe_n18_from_python.qasm"", omega: 200, ",29800,0,10488,0,53,0.8577943,0.4799632,452
"circuit_path: ""${BENCHMARK_DIR}/vqe_n18_from_python.qasm"", omega: 400, ",29800,0,10485,0,41,0.9765397,0.5992338,235
"circuit_path: ""${BENCHMARK_DIR}/vqe_n18_from_python.qasm"", omega: 800, ",29800,0,10479,0,42,1.6556113,1.2850103,130
"circuit_path: ""${BENCHMARK_DIR}/vqe_n22_from_python.qasm"", omega: 50, ",48448,0,18514,0,66,1.3480294,0.6588285,2989
"circuit_path: ""${BENCHMARK_DIR}/vqe_n22_from_python.qasm"", omega: 100, ",48448,0,18432,0,56,1.0974144,0.5150544,1511
"circuit_path: ""${BENCHMARK_DIR}/vqe_n22_from_python.qasm"", omega: 200, ",48448,0,18433,0,56,1.0796523,0.52840525,747
"circuit_path: ""${BENCHMARK_DIR}/vqe_n22_from_python.qasm"", omega: 400, ",48448,0,18427,0,63,1.4286301,0.9207873,386
"circuit_path: ""${BENCHMARK_DIR}/vqe_n22_from_python.qasm"", omega: 800, ",48448,0,18419,0,55,2.3862894,1.7501144,199
"circuit_path: ""${BENCHMARK_DIR}/vqe_n26_from_python.qasm"", omega: 50, ",72600,0,29698,0,71,1.6416487,0.82316977,4501
"circuit_path: ""${BENCHMARK_DIR}/vqe_n26_from_python.qasm"", omega: 100, ",72600,0,29527,0,63,1.3127915,0.6293634,2291
"circuit_path: ""${BENCHMARK_DIR}/vqe_n26_from_python.qasm"", omega: 200, ",72600,0,29515,0,64,1.458615,0.68551445,1154
"circuit_path: ""${BENCHMARK_DIR}/vqe_n26_from_python.qasm"", omega: 400, ",72600,0,29513,0,49,1.4397368,0.7762992,584
"circuit_path: ""${BENCHMARK_DIR}/vqe_n26_from_python.qasm"", omega: 800, ",72600,0,29511,0,51,2.4728844,1.7609767,297
"circuit_path: ""${BENCHMARK_DIR}/vqe_n30_from_python.qasm"", omega: 50, ",102768,0,44555,0,70,2.0135734,0.99149656,6438
"circuit_path: ""${BENCHMARK_DIR}/vqe_n30_from_python.qasm"", omega: 100, ",102768,0,44305,0,68,1.6233118,0.75234586,3350
"circuit_path: ""${BENCHMARK_DIR}/vqe_n30_from_python.qasm"", omega: 200, ",102768,0,44305,0,51,1.3892903,0.63842434,1642
"circuit_path: ""${BENCHMARK_DIR}/vqe_n30_from_python.qasm"", omega: 400, ",102768,0,44276,0,46,1.588495,0.82508194,835
"circuit_path: ""${BENCHMARK_DIR}/vqe_n30_from_python.qasm"", omega: 800, ",102768,0,44281,0,54,2.7794626,1.9214802,437
